# synthesis rates in mRNA/min
# mRNA decay halflives in min
#
gene	synthesis_rate	halflife
vmgW	0.03	4.29
psmD	0.58	5.85
nkyW	0.40	5.90
vapF	0.39	2.42
sdrY	0.03	6.52
ifjA	1.56	9.44
pzpF	0.05	5.03
ougL	0.32	5.94
esoZ	0.01	5.68
pykD	0.01	3.53
zypC	0.05	2.44
msoO	0.01	3.13
bysT	0.05	3.85
sekC	0.13	5.71
dhdK	0.04	1.39
omcQ	0.50	6.07
cdaY	0.06	9.08
omzZ	0.03	5.90
zbtF	0.03	3.05
qgeE	0.06	3.54
rrpB	0.33	2.11
fbaK	0.06	12.03
uuyM	0.54	21.25
bqdP	0.05	3.90
oaoK	0.11	7.66
aikL	0.05	1.90
zqwI	0.10	1.97
qzzG	0.50	3.36
elxK	0.28	6.56
ardQ	0.09	5.06
izzR	0.15	17.62
sgvY	1.28	4.13
ynuI	0.04	4.88
iaeP	0.02	15.67
oiiT	0.56	2.65
vrmW	0.01	2.01
fgpN	0.02	5.24
hscI	0.05	0.68
bmlH	0.02	2.43
tguV	0.03	5.95
tvbT	0.05	1.14
acdL	0.16	2.43
drtF	0.06	6.08
xboJ	0.06	6.27
rliQ	0.19	5.97
efhR	0.22	3.97
fhjZ	0.01	4.00
bopH	0.12	0.98
uygQ	0.01	2.59
qqtX	0.01	3.31
sgtO	0.41	10.96
mscE	0.09	2.82
dcsQ	0.07	2.59
qnuP	4.74	2.95
coyE	0.03	1.58
ilkX	0.20	2.85
fxeB	0.22	8.69
xjgL	0.21	1.86
ihmF	0.39	2.16
nqqZ	0.00	4.91
isvC	0.54	1.47
fubW	0.33	5.38
ahwD	0.16	7.08
pqyP	0.13	0.70
qgwE	0.10	2.55
vwnJ	0.02	1.34
gcbE	0.04	1.82
hjbJ	0.02	12.83
jfcG	0.12	1.30
tfqJ	0.08	1.71
omsU	0.15	2.75
fbzX	0.07	12.33
zolE	0.12	6.20
xkaX	0.01	0.92
wwwH	0.01	0.61
cguA	0.08	4.36
pdhG	0.15	1.90
anzF	0.04	9.15
qwgX	0.28	1.39
rqbT	0.00	1.64
mxhM	0.01	5.50
pbdQ	0.04	7.38
zbgP	0.05	2.64
rtlL	0.01	2.30
gwsT	0.59	6.54
uhjB	0.06	4.79
squF	0.09	2.21
uqpE	0.65	2.93
tksX	0.32	2.73
bszR	0.00	8.66
vtuG	0.21	1.66
xctP	2.43	13.30
yisN	0.01	7.63
gnoW	0.15	2.31
msqC	0.44	2.35
aktI	0.23	4.10
ovfN	0.02	7.78
lqbU	0.15	2.91
ctqT	0.18	11.73
ismL	0.03	1.67
cclX	0.44	7.50
vprN	0.04	7.84
mxfM	0.17	3.96
xesZ	0.06	6.44
mtlS	0.10	5.00
ivhD	0.78	5.92
kkaE	0.05	2.83
ncaF	0.11	10.44
blgC	0.08	0.43
pejR	0.33	12.21
ukuP	0.75	1.86
rkuW	0.09	3.07
epxM	0.39	8.72
qrvB	0.05	5.16
ohpL	0.13	1.58
ukkQ	0.03	2.57
hihD	0.00	1.95
vsvV	0.01	15.35
nosV	1.56	2.52
njeY	0.05	13.80
bnnK	0.10	3.68
fqgZ	0.27	3.28
fcnZ	0.03	1.28
vypM	0.03	5.69
pzxP	0.13	8.02
fvuZ	0.01	19.27
zeqZ	0.13	0.66
apkH	1.29	3.96
wocT	0.05	2.24
sxuH	0.01	5.77
zpsZ	0.22	27.61
lbqV	7.24	4.60
onnB	0.05	1.84
qptZ	0.04	15.22
dzdS	0.03	2.49
naaO	0.02	9.46
wueP	0.03	2.96
typP	0.14	4.97
afrO	0.05	4.97
lcvV	0.13	2.14
urzD	0.13	1.55
beyL	0.31	4.70
zucX	0.24	3.50
qiuE	1.10	0.47
nsgP	0.26	2.17
ruqI	0.28	3.60
myrB	0.26	4.65
hdcP	0.04	7.00
xhuU	0.08	1.41
gflD	0.01	1.40
kisK	0.01	4.38
zsaF	0.06	4.91
eirD	0.03	2.57
pyuF	0.03	2.18
ajgI	0.02	2.97
lewA	0.31	3.57
wfuO	0.08	4.01
zfaT	0.40	0.69
fapG	0.04	1.24
nlcR	1.42	0.94
eomL	2.01	3.09
hyzA	0.03	5.93
ztpD	0.15	4.45
bckU	0.32	1.75
wfoL	0.00	2.06
hhwB	0.25	5.61
mdyP	0.06	0.22
xkzB	2.19	8.23
qdxU	0.04	4.74
fwuQ	0.03	1.46
bwjV	0.17	5.26
iagH	0.64	6.65
kzaY	0.00	9.89
rbbD	0.25	1.40
zilI	0.05	1.62
kciY	0.02	4.23
wlcI	0.01	6.64
khiN	0.10	10.63
vlnF	0.11	5.54
innU	0.19	1.01
pfvV	0.29	9.37
gflF	0.07	8.35
ghuY	0.04	1.55
yuhP	0.13	7.50
kxaB	0.08	8.28
lruK	0.06	6.53
nthY	0.06	4.34
kleC	0.15	4.38
dvxC	0.41	3.18
defC	0.02	7.77
jjvL	0.08	2.22
yiiC	0.06	4.35
mzbD	0.11	1.23
thtN	0.05	4.38
vmjW	0.02	0.93
dkyN	0.03	1.14
wacE	0.17	1.59
cvrE	0.06	0.76
gqvF	0.05	3.10
wjmU	0.13	13.24
xbcW	0.55	8.88
jyuY	0.19	7.15
pwcF	0.05	9.04
cxtF	0.13	4.56
kjjQ	0.39	1.20
rosT	0.06	3.57
vkaJ	0.02	5.50
ghlA	0.67	5.10
awlL	0.13	3.29
vivG	0.76	7.90
ipfN	0.07	5.84
vmgS	0.14	14.66
bzlE	0.57	4.45
nznZ	0.04	4.18
clcV	0.40	1.47
oqoO	0.42	11.14
xodK	2.15	9.87
kmsO	0.37	4.49
lxxT	0.21	3.71
syoU	0.01	7.73
igtE	0.03	12.52
thtL	0.63	22.42
rfnS	0.29	3.49
nhdD	0.03	7.46
gbgQ	0.05	5.49
xllQ	0.02	0.96
nkyF	0.10	6.61
dixO	0.39	1.27
qrzV	0.04	0.75
twmV	0.15	6.12
cmnM	0.12	5.14
xpyS	0.90	11.09
deqW	0.14	2.67
ltpV	0.05	5.96
xahK	0.23	7.87
vsfU	0.08	3.22
hjyI	0.22	22.09
qzsP	0.19	7.12
undZ	1.92	12.18
safO	0.10	6.02
eioT	0.01	1.40
ivlV	0.43	3.58
vkuA	0.02	2.77
ezhJ	0.11	1.39
wdkS	0.01	0.99
vrdS	0.11	7.85
udeK	0.05	28.88
gxsC	0.01	6.23
cjxS	0.01	3.87
wkvA	0.04	2.83
iplI	0.02	1.80
tuoC	0.07	2.32
jqsY	0.01	1.58
bipS	0.05	11.19
scyU	1.89	3.55
teqH	0.03	4.19
bzmZ	0.02	4.51
yphK	2.06	2.25
npwK	0.16	4.91
tsgN	0.01	0.94
fqtK	0.12	4.22
cpbR	0.05	5.08
tjiU	0.89	8.60
wseD	0.05	0.94
stbI	0.15	6.60
ovdZ	0.19	4.20
zgkE	0.10	2.48
ttkK	0.17	21.92
xnfA	0.07	4.61
ilcH	0.02	1.57
dykM	0.09	18.19
pjrK	0.02	6.33
frhT	0.01	17.53
kkuS	0.20	7.87
jzrL	0.05	29.86
vxdN	0.19	8.37
qrdG	0.00	4.48
angC	2.47	6.62
inwN	0.02	2.50
phtD	0.03	15.03
tmpQ	0.26	10.06
sjxE	0.88	4.42
sxoB	0.04	4.19
uguT	0.09	0.53
fobH	0.18	3.43
tgvK	0.16	3.83
uenH	0.01	4.13
mswM	0.95	1.52
hpcG	0.30	6.02
aubF	1.30	7.56
pqiT	0.03	2.71
ogiD	0.02	2.30
ouxO	0.13	2.34
fztC	0.03	6.52
mapO	0.20	14.09
ounX	0.26	1.21
larL	0.07	1.13
bslW	0.01	3.63
ecvD	0.04	4.21
squP	1.37	0.72
mujM	0.03	2.58
tqcC	0.06	2.27
nrsC	0.26	3.70
hgkZ	0.01	19.74
xbfA	0.13	4.12
ynqP	0.22	6.91
cvfL	0.82	2.25
cbjA	0.00	7.42
rwjN	0.23	1.93
zizS	0.41	1.42
cxuM	0.14	35.80
jcuE	4.28	3.00
dxeI	0.01	3.50
vzdV	0.38	3.79
mphB	0.04	7.39
gnhR	0.05	5.17
isjH	0.01	5.75
fhtB	0.04	1.05
xodS	0.16	2.81
iyiD	0.30	4.49
ydrO	1.37	8.08
qonD	0.16	114.98
uxfR	0.16	2.61
qgoP	0.08	3.01
pcqE	0.01	4.14
rsrO	0.02	7.52
vciR	0.24	3.00
ulcR	0.05	2.09
weeL	0.04	5.49
dziP	0.08	11.99
tqtT	0.20	0.83
dbaM	0.17	11.68
ggdH	0.24	3.46
ahdW	0.05	4.66
oemI	0.06	1.34
zwcG	0.00	3.44
uiuL	0.01	1.79
ijqE	1.30	15.89
pwsP	0.26	5.67
phfE	0.02	3.73
hhdI	0.07	0.96
tsqD	0.55	4.75
kzcZ	0.02	9.16
yskL	0.00	0.81
rpnV	0.06	1.95
oomJ	0.01	0.90
ublU	0.36	8.53
vtcC	0.09	4.86
otoQ	1.75	4.29
avjM	0.07	0.64
kusG	0.58	2.07
tqxX	0.05	13.61
ypkF	0.00	2.00
slfC	0.02	5.25
zibJ	0.32	6.88
ygaG	0.01	2.48
ntpD	0.04	3.44
qvuV	0.00	3.35
iwnD	0.03	0.55
abnN	0.15	7.39
cbaJ	0.04	4.82
rblS	0.02	3.87
qrwX	0.12	1.74
rtaO	0.45	3.92
xdjG	0.11	3.40
oct1	0.02	3.20
sacG	0.66	6.11
dfuF	0.25	3.16
pbtL	0.10	7.92
dtsU	0.22	0.99
nrjO	0.03	6.05
bosO	0.05	7.29
wcjQ	0.29	3.94
xucQ	0.03	1.25
jabI	0.16	6.32
wrrN	0.66	1.40
bogF	0.70	4.00
trpZ	0.01	2.08
qfmR	0.06	10.61
fikQ	0.03	5.40
ystP	2.30	3.19
dioU	0.01	11.80
xydQ	0.04	6.68
irxJ	0.02	1.65
esvE	0.30	3.86
jmhR	0.09	8.83
wolD	0.02	11.58
anyT	0.03	2.40
grsO	0.66	2.07
shwJ	0.10	4.01
tlcR	0.15	0.87
vfyM	0.01	4.62
mwtF	0.05	5.53
vyiA	0.44	6.51
zoaC	0.01	1.86
tpgF	0.02	12.97
gsyM	0.00	7.66
qbyR	0.02	6.12
oocE	0.02	2.70
vvnY	0.20	2.92
qlwM	0.12	2.36
yfoM	0.08	3.88
bctT	0.10	1.20
ylhZ	0.18	2.38
savJ	0.17	1.07
acgG	0.04	6.58
znsF	0.43	1.20
nzmM	0.28	5.78
fnwE	0.05	4.76
ydbS	0.06	0.79
zqnP	0.00	4.46
jbxG	0.34	1.10
budH	0.04	1.79
ntwQ	0.06	2.81
qjtD	0.02	1.51
aljU	0.14	1.76
aowQ	0.01	0.92
nrjG	0.03	5.64
smpY	0.12	1.64
tiwM	0.62	2.14
kgwW	0.01	1.95
ezsD	0.00	1.58
ahaJ	0.10	1.98
beoA	0.28	2.86
ppwM	0.01	1.09
rroT	0.12	3.58
ulbM	0.38	1.95
onuL	0.12	12.26
nrtU	0.46	3.41
gmiK	0.10	1.83
ovlE	0.44	3.83
hedF	0.05	2.48
zpgT	0.07	1.06
btqU	0.01	6.71
ocoO	0.04	4.10
mlnG	0.11	2.87
mpoA	0.04	0.89
fbzY	0.10	2.40
eolU	0.00	3.55
dtbP	0.01	3.20
kilX	0.73	15.65
pmqX	0.28	1.18
xciD	0.01	2.14
jbsL	0.11	4.63
pdcK	0.01	7.64
iarF	0.13	7.34
kvqR	0.07	5.76
ubtI	0.14	5.20
pyjI	0.53	6.05
odsB	0.03	2.76
xfcL	0.08	5.39
ewkZ	0.06	6.15
nmsA	0.12	4.34
bttV	0.01	2.81
thlZ	0.11	1.42
cwaX	0.08	2.40
jifZ	0.04	2.55
pdoB	0.36	16.70
ihvA	0.17	7.71
kccK	0.02	7.93
rjkJ	0.09	4.46
pyhP	0.26	3.58
tyaK	0.07	2.10
twfU	0.01	5.65
xwnS	0.03	7.58
vvmO	0.05	9.44
okaO	0.05	6.29
fizJ	1.27	0.56
ehvT	0.39	3.36
igeT	0.06	1.88
okbT	0.06	0.76
dlsF	0.42	1.51
horD	0.07	3.76
rioB	0.34	4.14
fllR	0.01	2.90
bfcQ	0.19	4.25
vyfO	0.14	3.88
wufV	0.00	3.47
wwjB	4.87	8.14
lyfN	0.06	3.89
cidZ	0.08	2.92
eirV	0.01	1.09
nspN	0.33	4.57
ttvC	0.21	2.00
jnmH	0.05	1.42
dszO	0.26	5.45
ocaB	2.14	14.06
dgoF	0.10	2.47
pdkW	0.03	4.87
cvcF	0.20	5.65
oreR	0.15	14.59
dxdM	0.00	1.82
vivE	1.20	6.10
fwcU	0.01	2.39
vktK	0.06	2.52
jhbU	0.24	5.87
cwyM	0.12	1.69
gdtP	0.11	6.34
bkxY	0.05	2.96
dklU	0.02	4.15
bvaR	0.03	2.23
ptgE	1.07	10.71
citS	0.09	9.73
csiB	0.00	13.42
enuD	0.68	2.64
ltgP	0.56	7.10
auiN	0.07	10.31
qwwC	0.00	11.41
bbwJ	0.02	6.63
aygE	0.09	6.00
rmdO	0.12	2.11
kinP	0.80	1.62
nxkB	0.08	1.58
oaaZ	0.01	6.57
cliY	0.14	2.53
ocrB	0.01	2.13
dbrE	0.01	2.63
lwiA	0.21	2.13
mcuQ	0.02	2.58
gjiB	0.01	0.87
zpzB	0.06	2.27
pmcO	0.10	4.40
eevQ	0.14	7.14
qrzW	0.04	6.91
sytE	1.69	3.71
dguZ	0.06	1.07
nulL	0.33	2.81
qcrX	0.04	20.36
tvaJ	0.34	4.68
arsT	0.11	8.17
klpU	0.02	0.98
edjB	0.04	1.65
nybZ	1.94	5.57
abhA	0.09	1.39
xpnF	0.10	9.16
xgfA	0.08	5.04
qjvT	0.15	2.32
ozpP	0.09	1.16
imuF	0.02	0.97
tggI	7.24	1.87
oqgP	0.07	3.93
kgmE	0.48	4.47
hlzO	0.04	4.95
heyK	0.02	11.89
jdeV	0.01	1.85
ngbH	0.28	2.51
eitN	0.05	5.52
puyV	0.05	1.91
efoK	0.21	10.61
lbaW	0.03	1.96
wotK	0.12	5.00
mar1	0.20	1.78
vnuB	0.02	1.37
tojR	0.04	10.00
nmtR	0.05	2.64
txvT	0.04	1.48
nuzE	0.11	0.35
gxfY	0.01	1.62
qptL	0.15	2.15
hpgX	0.07	19.84
hxwQ	0.54	7.04
kwjL	0.32	1.93
hwoE	0.13	2.08
uelP	0.08	3.12
krrV	0.00	1.12
ibsV	0.00	2.39
lihQ	0.01	3.68
qkqT	0.17	2.66
mpeB	0.28	4.16
ghmX	0.24	4.72
ryjY	1.49	5.94
eenB	0.61	8.19
fngZ	0.00	4.46
nrcO	0.15	1.81
futX	0.26	1.10
jlaS	0.45	1.98
fzzJ	0.01	3.18
byxN	1.58	3.95
gayA	0.35	8.99
buiD	0.12	14.20
tqjJ	1.99	5.74
ztlW	0.78	3.28
gjpA	0.13	2.53
manB	0.02	8.86
xxtF	0.08	13.66
vvnT	0.12	3.87
vkoC	0.04	1.00
vxlV	0.00	8.32
qjhV	0.50	3.67
ozhH	0.08	9.74
steB	0.99	3.99
iueC	0.11	0.72
zoyQ	0.07	2.20
djvF	0.01	4.16
jhrW	0.06	0.30
zicE	0.05	1.61
dvoZ	0.28	3.54
rxuG	2.19	10.94
xmjC	0.01	2.89
gduD	0.02	10.19
awyF	0.06	2.98
dhgR	0.03	3.60
nyuB	0.11	22.63
mkmQ	1.10	2.22
zppW	0.05	2.71
wfhZ	0.04	11.02
wibR	0.08	8.16
lyvU	0.48	1.72
txhF	0.01	1.02
mskG	0.02	0.31
gupT	0.02	3.40
gkvW	0.16	2.52
wfiV	0.03	2.77
lpcK	0.01	6.28
iazL	0.04	4.27
tvdI	0.05	5.69
wsxS	0.91	7.50
kasR	0.07	2.44
ludV	0.13	0.57
irqS	0.15	0.72
uqmK	0.09	1.04
lunZ	0.92	1.58
zzmY	0.01	1.02
qlhG	0.23	2.54
aofV	0.07	2.73
aemK	0.02	1.58
jrnB	0.14	0.95
vbcH	1.47	1.74
nspJ	0.03	0.93
jdyB	2.06	2.14
upnW	0.01	5.58
lygH	0.06	1.11
halQ	0.01	0.76
sceP	0.27	3.49
ztyY	0.67	5.83
joeQ	2.93	1.54
hciU	0.53	1.63
ffxX	0.02	3.10
nnyE	0.00	7.66
ideC	0.18	3.06
upvC	0.04	4.70
wwaE	0.12	3.60
ccuI	0.08	1.96
yefP	0.48	5.69
aimK	0.02	4.05
pmiM	0.71	1.94
mbzA	0.86	3.35
uvzM	0.33	3.68
czqG	1.09	3.09
bmzK	0.73	1.68
enaM	0.05	8.30
nndR	0.08	2.20
weyP	0.16	5.59
lobF	0.00	4.17
hgbU	0.23	2.09
ydtY	0.24	2.93
nioE	0.27	7.69
mqrO	1.20	3.99
qpiK	0.17	1.37
ywnP	0.05	6.21
wnkY	0.11	1.28
adfB	0.27	2.22
lbgC	0.04	1.00
eezF	0.03	2.37
joxZ	0.02	3.61
yruM	0.02	10.75
mpyL	0.07	2.47
kjyJ	0.09	4.15
pmmB	0.18	3.96
nvfZ	0.01	0.95
njtI	0.35	2.72
oumV	0.10	4.10
cqdY	0.13	3.39
draO	3.16	2.71
yhkA	0.12	3.22
lneC	0.01	4.13
qroR	0.14	3.98
simV	0.40	2.91
lyuA	0.04	5.16
nlbD	0.03	2.58
jrcB	0.03	0.92
njpB	0.03	1.09
aoeT	1.03	3.02
vdvE	0.06	2.62
tpuN	0.46	14.61
oogM	0.29	9.49
ljmE	0.01	3.40
bbwB	0.07	1.05
qwcH	0.05	15.18
cyeP	0.01	2.39
wpmI	0.03	1.34
sldO	0.07	0.81
ivaL	0.13	6.19
ebnR	0.14	6.17
hoaQ	0.04	4.86
cwiL	0.13	2.14
parX	0.26	3.70
inrN	0.10	20.65
cfhH	0.28	1.80
gyqZ	0.47	2.21
bleG	0.45	8.56
ahpD	0.01	10.93
vthT	0.25	2.92
lhmB	0.81	2.74
zfnO	0.05	11.12
fftB	0.42	3.91
fuoN	0.26	0.81
wedR	0.02	4.71
rkoN	0.21	3.88
cfzS	0.10	1.63
tfbH	0.05	0.86
mmrN	0.12	2.30
vncS	0.00	8.46
lfpY	0.52	6.17
hxeG	0.01	6.63
sghQ	0.02	3.34
xulD	0.14	5.70
zlzZ	1.47	10.02
xasH	0.02	3.46
fhmE	0.02	3.14
ngcT	0.16	2.86
fpuI	0.58	2.05
aprJ	0.23	4.71
hfnK	0.44	1.75
hoaG	0.24	3.39
imnM	0.29	1.57
nqhY	0.01	4.57
hqmI	0.20	13.50
ahhL	0.01	2.33
sctC	0.02	18.20
jxtE	0.01	4.13
adgC	0.03	2.85
habU	0.10	39.83
cqeG	0.14	2.44
ysdW	0.02	23.19
hqaE	0.03	0.88
kalG	0.22	4.29
ooyM	0.02	5.16
iwxD	0.11	0.97
bjjN	0.46	6.75
mqhA	0.02	1.23
hhyU	0.01	2.01
safD	0.05	4.08
ufxK	0.01	1.16
cvnX	0.10	5.42
wvyO	0.20	10.90
ewyZ	1.02	8.07
mkqZ	15.39	8.91
dvzE	0.29	4.91
rrrU	0.00	2.22
jqqH	0.52	3.56
uebN	0.03	3.05
aznY	0.09	2.47
ortJ	0.09	3.48
jpcN	0.01	1.71
htiT	0.00	1.75
dhnI	0.06	12.28
agoK	0.02	2.31
dokS	0.02	2.07
ffhT	0.04	2.79
hglE	0.10	2.65
bcqY	0.06	17.05
wlsG	0.07	15.50
hsuE	0.15	4.65
ziaS	0.57	2.69
spxE	0.01	3.14
tbdO	1.10	3.46
snzZ	0.27	0.92
jdwZ	1.52	8.50
cdyJ	0.02	1.07
lbhI	0.03	5.02
rcwL	0.04	9.94
gvrX	0.01	0.97
kxiH	0.18	2.25
ijgB	0.33	7.53
pqlA	0.40	6.65
ybjV	0.15	3.96
zocJ	0.06	1.12
nnsG	0.04	5.85
sduU	1.38	0.64
innA	0.01	9.39
wynI	0.03	7.04
uxhY	0.02	1.55
xewW	0.33	3.60
kewX	7.41	2.54
bhuV	0.36	5.57
ukeZ	0.02	17.32
rutU	0.33	5.26
jnrY	0.18	2.66
etqH	0.14	3.47
vunA	0.00	5.47
lqvI	0.03	0.51
etaF	0.02	8.59
rtiD	0.07	13.46
gmaZ	0.03	2.36
lykZ	0.00	5.04
aplP	0.04	1.07
ikgI	0.08	5.27
yheF	0.21	10.16
xlnT	0.09	2.37
snbX	0.05	5.77
rewD	0.82	1.91
prmH	0.09	1.67
xpgX	0.06	13.22
aneA	0.04	8.86
ldwU	0.02	1.16
spbC	0.09	6.82
dyuY	0.05	24.98
uufV	0.37	19.39
lxhP	0.16	5.30
pluB	0.22	2.50
gahY	0.02	7.10
hkwV	0.02	3.16
ffxN	0.23	3.76
aekD	0.05	1.04
czeA	0.04	0.57
vfnH	0.03	3.33
enoQ	0.03	5.66
ahcS	0.17	5.83
qtxQ	0.05	1.37
ripE	0.31	0.88
jiyO	0.13	7.10
ankO	0.31	7.07
lgvL	0.32	2.85
ivkI	2.12	3.52
laaE	0.17	2.01
zghW	0.36	15.73
nrqQ	0.13	6.22
joyF	0.22	10.98
nwmQ	1.95	2.16
ovuO	0.06	4.14
gcxA	1.02	2.32
yrrX	0.01	5.49
pfsP	0.07	1.10
hpdJ	0.28	6.32
iytV	1.91	11.84
vwlH	0.46	3.14
jlaH	0.02	8.88
gvoO	2.71	2.75
bguU	0.10	6.71
coqC	1.55	4.49
jzmE	0.09	2.45
ttnG	0.36	3.72
hxxV	0.02	4.02
qemF	0.09	1.10
grxH	0.22	1.27
laoU	0.09	1.97
znqT	0.09	3.38
qunV	0.33	42.06
znhR	0.10	4.46
bmgF	0.10	2.16
ykcW	0.01	2.80
tzrA	0.10	5.62
mspB	0.02	4.89
wifE	0.03	1.89
syyM	0.08	1.05
awgX	0.01	5.01
msoJ	0.03	3.17
icrR	0.64	15.82
lmuL	0.03	2.66
werC	0.13	1.98
tcdG	0.08	5.84
lkcN	0.01	1.94
hffM	0.04	3.21
apuC	0.08	3.91
zplJ	0.01	11.98
pvvR	0.01	2.29
uooI	0.02	1.95
pmkQ	0.02	7.85
rmeI	0.00	11.25
wicQ	0.12	11.24
cvyC	0.06	3.23
mgiN	0.00	6.44
itiT	1.06	2.45
splK	0.03	1.05
xhzJ	0.05	12.33
lomH	0.12	2.50
ndgG	0.01	7.41
eylZ	0.13	4.20
tspQ	0.30	1.03
rzwW	0.13	2.99
oqdQ	0.04	7.91
vckB	0.01	0.82
jdsA	0.60	5.84
yhdF	0.35	4.81
vkiC	0.01	2.22
zzyT	0.17	4.54
ktcX	0.23	6.33
ingI	0.01	2.07
kgzN	0.85	6.76
cdnY	0.07	1.39
znkB	0.07	57.79
hwaG	0.62	1.15
wetP	0.10	2.01
mweE	0.32	4.59
sdcJ	0.38	4.93
jzrW	0.02	3.01
ztcV	0.04	5.26
nwiK	0.09	11.93
fxwV	0.00	1.39
hpqX	0.58	1.65
zrsP	0.05	2.14
wdgZ	0.21	0.87
qrnS	0.41	3.71
dezI	0.00	3.34
obkJ	0.03	3.37
qrnN	0.05	2.73
durZ	0.04	14.58
eoiC	0.06	2.30
tjdS	0.03	1.26
dlqK	0.08	1.98
rxbI	0.09	27.32
oyjA	0.04	1.45
vshT	0.25	2.11
rwdS	1.14	2.59
kmmD	0.17	9.99
ofiJ	0.29	7.41
rfiM	0.02	4.28
xjkR	0.07	10.91
jjsQ	5.90	4.24
pdmZ	0.02	1.32
uygC	0.22	3.01
gntV	0.35	2.93
yjwN	0.11	2.76
kxkO	0.01	0.71
vkfC	0.61	3.32
jmjB	0.07	1.47
ibaT	0.08	5.80
nwbA	0.05	1.29
kakO	0.01	5.48
qafX	0.08	1.11
oydG	0.16	2.37
rawP	0.02	2.47
ygpX	0.31	2.26
gdsU	0.02	4.33
aimR	0.02	4.50
pjyC	0.18	7.04
jjdV	0.16	3.82
zwdL	1.92	6.00
efaT	0.00	0.77
pcmQ	0.03	4.09
tyaP	0.24	4.93
iomE	0.08	2.69
iasN	0.06	2.40
cipR	0.01	2.50
hhhR	0.05	24.16
bzeK	0.21	2.66
jbiT	0.62	3.78
rvvF	0.06	1.42
msrV	0.20	14.16
peeW	0.41	2.52
xboW	0.36	1.55
moiF	0.03	5.03
bymH	2.19	2.99
ejiH	1.43	2.58
vsgD	0.04	2.37
tslY	0.02	3.44
mdwI	0.02	2.69
kqaC	0.23	0.66
ousL	0.01	0.68
hkmM	0.01	1.51
vmqX	0.04	3.48
tfvL	0.61	1.08
ghrQ	0.10	1.90
aqbB	0.14	1.11
ukoM	0.10	1.32
zlsM	0.03	3.60
hlfU	0.09	2.17
yrzP	0.31	9.46
nyyM	0.04	5.88
jdmS	0.04	1.90
prwM	0.08	4.42
diyC	0.50	2.10
bzlX	0.01	3.48
wpzK	0.00	4.37
zvfO	0.16	3.41
ukwE	1.27	0.78
nuzM	0.57	2.56
zlcH	0.09	4.04
skrI	0.08	1.68
tiwJ	0.08	13.81
fpyY	0.33	0.99
wsjM	0.06	1.04
hxtT	0.07	2.91
sxkW	0.06	1.76
prdX	0.27	2.69
tyvH	0.09	8.11
uuaS	0.22	4.20
jxmS	0.05	1.86
yjnQ	0.67	2.96
zelV	0.07	4.54
gurX	0.03	11.27
liwV	0.13	0.78
yyqN	1.29	1.31
vhoV	0.15	1.35
vpzU	0.06	3.29
cnvN	0.15	0.98
bxeJ	0.04	16.17
vqgT	0.64	4.54
norZ	0.09	1.74
rywZ	0.05	5.20
svyB	0.26	8.76
sysY	0.72	3.85
cxyH	0.15	63.57
arjT	0.19	1.18
bsyH	0.05	2.57
szuQ	0.06	1.00
delN	0.09	4.27
xygB	0.12	1.64
mmlJ	0.02	6.27
szfG	0.60	4.23
peiM	0.15	4.41
dnxJ	0.02	3.05
qkqI	0.37	2.51
vblP	0.12	2.81
wduX	12.02	2.65
rkxM	0.17	4.34
mleJ	0.03	1.66
drtR	0.00	10.34
hzfB	0.96	2.90
